movie,runtime_minutes,genres,averagerating,numvotes,production_budget,domestic_gross,worldwide_gross,net_revenue,ROI%
Don't Be Afraid of the Dark,99.0,"Fantasy,Horror,Thriller",5.6,44490,25000000,24046682,39126427,14126427,0.56505708
Captain Phillips,134.0,"Biography,Drama,Thriller",7.8,387402,55000000,107136417,220648184,165648184,3.0117851636363637
House at the End of the Street,101.0,"Drama,Horror,Thriller",5.6,66303,6900000,31611916,44103982,37203982,5.391881449275362
Machete,105.0,"Action,Crime,Thriller",6.6,182320,12500000,26593646,46370970,33870970,2.7096776
Shanghai,120.0,"Crime,Mystery,Thriller",7.2,9047,50000000,46425,15505922,-34494078,-0.68988156
The Commuter,105.0,"Action,Mystery,Thriller",6.3,83114,40000000,36343858,101985431,61985431,1.549635775
The Lords of Salem,101.0,"Horror,Thriller",5.1,25089,1500000,1165881,1541131,41131,0.027420666666666666
The Expendables,103.0,"Action,Adventure,Thriller",6.5,307897,82000000,103068524,268268174,186268174,2.2715630975609757
The Raven,110.0,"Crime,Mystery,Thriller",6.4,79578,26000000,16008272,30601801,4601801,0.17699234615384615
Venom,112.0,"Action,Sci-Fi,Thriller",6.7,275406,116000000,213511408,853628605,737628605,6.358867284482758
Demonic,83.0,"Horror,Thriller",5.3,12025,3000000,0,4668109,1668109,0.5560363333333334
Jack Reacher,130.0,"Action,Crime,Thriller",7.0,284547,60000000,80070736,217370736,157370736,2.6228456
The Purge,85.0,"Horror,Thriller",5.7,183549,3000000,64473115,91266581,88266581,29.422193666666665
The Equalizer 2,121.0,"Action,Crime,Thriller",6.7,97963,77000000,102084362,190453132,113453132,1.4734172987012988
Shutter Island,138.0,"Mystery,Thriller",8.1,1005960,80000000,128012934,299461782,219461782,2.743272275
Ouija,89.0,"Horror,Mystery,Thriller",4.5,44054,5000000,50856010,103300632,98300632,19.6601264
Out of the Furnace,116.0,"Crime,Drama,Thriller",6.8,99037,22000000,11330849,15434375,-6565625,-0.2984375
The Devil's Double,109.0,"Biography,Drama,Thriller",7.1,58342,19100000,1361512,5965646,-13134354,-0.6876625130890053
A Lonely Place to Die,99.0,"Adventure,Crime,Thriller",6.3,25547,4000000,0,442550,-3557450,-0.8893625
Truth or Dare,100.0,"Horror,Thriller",5.2,33621,3500000,41411015,95127344,91627344,26.179241142857144
Devil,80.0,"Horror,Mystery,Thriller",6.2,122080,10000000,33679655,63354114,53354114,5.3354114
Drive Angry,104.0,"Action,Fantasy,Thriller",5.4,90203,50000000,10721033,41042583,-8957417,-0.17914834
Beyond the Black Rainbow,110.0,"Horror,Sci-Fi,Thriller",6.0,10765,1100000,56491,56491,-1043509,-0.9486445454545455
The Foreigner,113.0,"Action,Thriller",7.0,81288,35000000,34393507,140783360,105783360,3.0223817142857143
The Roommate,91.0,"Drama,Thriller",4.9,33062,16000000,37300107,52545707,36545707,2.2841066875
Super 8,112.0,"Mystery,Sci-Fi,Thriller",7.0,320575,50000000,127004179,257972745,207972745,4.1594549
The Ghost Writer,128.0,"Drama,Mystery,Thriller",7.2,148274,45000000,15541549,65532491,20532491,0.4562775777777778
The Bourne Legacy,135.0,"Action,Adventure,Thriller",6.7,268678,125000000,113203870,280355920,155355920,1.24284736
Limitless,105.0,"Mystery,Sci-Fi,Thriller",7.4,492490,27000000,79249455,155564919,128564919,4.761663666666666
Broken City,109.0,"Crime,Drama,Thriller",6.2,71704,35000000,19701164,34480045,-519955,-0.014855857142857143
Bullet to the Head,92.0,"Action,Crime,Thriller",5.7,44816,55000000,9489829,22597969,-32402031,-0.5891278363636364
Unknown,113.0,"Action,Mystery,Thriller",6.9,235167,40000000,63686397,136123083,96123083,2.403077075
The Apparition,83.0,"Horror,Thriller",4.1,18112,17000000,4936819,10637281,-6362719,-0.3742775882352941
Buried,95.0,"Drama,Mystery,Thriller",7.0,139426,1987650,1044143,21270290,19282640,9.701225064774986
Texas Chainsaw 3D,92.0,"Horror,Thriller",4.8,41784,20000000,34341945,47666013,27666013,1.38330065
The 15:17 to Paris,94.0,"Biography,Drama,Thriller",5.2,21880,30000000,36276286,56096200,26096200,0.8698733333333334
The Dark Knight Rises,164.0,"Action,Thriller",8.4,1387769,275000000,448139099,1084439099,809439099,2.9434149054545453
Paranoia,106.0,"Drama,Thriller",5.7,33149,40000000,7388654,16340767,-23659233,-0.591480825
Haywire,93.0,"Action,Drama,Thriller",5.8,78681,23000000,18942396,36374700,13374700,0.5815086956521739
The Hit List,90.0,"Action,Thriller",5.4,11081,6000000,0,0,-6000000,-1.0
Paranormal Activity 3,83.0,"Horror,Mystery,Thriller",5.8,85689,5000000,104028807,207039844,202039844,40.4079688
Icarus,120.0,"Documentary,Sport,Thriller",7.9,28979,6000000,0,0,-6000000,-1.0
Unstoppable,98.0,"Action,Thriller",6.8,173019,95000000,81562942,165720921,70720921,0.7444307473684211
My Soul to Take,107.0,"Horror,Mystery,Thriller",4.8,18381,25000000,14744435,16727470,-8272530,-0.3309012
Salt,100.0,"Action,Mystery,Thriller",6.4,277204,130000000,118311368,290650494,160650494,1.2357730307692307
Chernobyl Diaries,86.0,"Horror,Mystery,Thriller",5.0,60304,1000000,18119640,42411721,41411721,41.411721
Antiviral,108.0,"Horror,Sci-Fi,Thriller",5.7,11025,3100000,0,123407,-2976593,-0.9601912903225807
Ghost Rider: Spirit of Vengeance,96.0,"Action,Fantasy,Thriller",4.3,103608,57000000,51774002,149217355,92217355,1.6178483333333333
The Boy Next Door,91.0,"Horror,Thriller",4.7,34816,4000000,36006065,53401938,49401938,12.3504845
The East,116.0,"Adventure,Drama,Thriller",6.8,46804,6500000,2274649,3027956,-3472044,-0.5341606153846153
Exeter,91.0,"Horror,Mystery,Thriller",4.5,5156,25000,0,489792,464792,18.59168
The Family,111.0,"Comedy,Crime,Thriller",6.3,102576,30000000,36918811,51078541,21078541,0.7026180333333333
Furious 7,137.0,"Action,Crime,Thriller",7.2,335074,190000000,353007020,1518722794,1328722794,6.9932778631578945
The Debt,113.0,"Drama,Thriller",6.9,61046,20000000,31177548,46604054,26604054,1.3302027
The Last Exorcism,87.0,"Drama,Horror,Thriller",5.6,45815,1800000,41034350,70165900,68365900,37.98105555555556
Deadfall,95.0,"Crime,Drama,Thriller",6.3,36491,6000000,66351,1673635,-4326365,-0.7210608333333334
Triple 9,115.0,"Crime,Thriller",6.3,60369,20000000,12639297,25943792,5943792,0.2971896
The American,105.0,"Crime,Drama,Thriller",6.3,86863,20000000,35606376,67950723,47950723,2.39753615
Martha Marcy May Marlene,102.0,"Drama,Mystery,Thriller",6.9,45873,1000000,2981038,5438911,4438911,4.438911
The Boy,97.0,"Horror,Mystery,Thriller",6.0,68957,10000000,35819556,68220952,58220952,5.8220952
Miss Sloane,132.0,"Drama,Thriller",7.5,52788,18000000,3500605,7719630,-10280370,-0.5711316666666667
Abduction,106.0,"Action,Mystery,Thriller",5.1,72552,35000000,28087155,86648359,51648359,1.4756674
A Good Day to Die Hard,98.0,"Action,Thriller",5.3,188383,92000000,67349198,304249198,212249198,2.3070565
The Calling,108.0,"Drama,Thriller",5.8,7350,2500000,0,0,-2500000,-1.0
The Wall,88.0,"Action,Drama,Thriller",6.2,20391,3000000,1803064,4495262,1495262,0.4984206666666667
The Brass Teapot,101.0,"Comedy,Fantasy,Thriller",6.4,13746,900000,6997,413733,-486267,-0.5402966666666666
Dark Skies,97.0,"Horror,Sci-Fi,Thriller",6.3,65754,3500000,17418667,27704111,24204111,6.9154602857142855
Lucy,89.0,"Action,Sci-Fi,Thriller",6.4,403194,40000000,126573960,457507776,417507776,10.4376944
Life,104.0,"Horror,Sci-Fi,Thriller",6.6,182840,75000000,64062587,73521587,-1478413,-0.019712173333333333
Incarnate,91.0,"Horror,Thriller",5.3,10217,5000000,4799774,9371036,4371036,0.8742072
Unforgettable,100.0,"Drama,Thriller",5.1,11489,18000000,2483790,2483790,-15516210,-0.8620116666666666
Glass,129.0,"Drama,Sci-Fi,Thriller",6.8,133793,20000000,111035005,245303505,225303505,11.26517525
Red Dawn,93.0,"Action,Sci-Fi,Thriller",5.4,69599,65000000,44806783,48164150,-16835850,-0.2590130769230769
Dream House,84.0,"Drama,Mystery,Thriller",6.0,59714,50000000,21302340,41642166,-8357834,-0.16715668
Contagion,106.0,"Action,Drama,Thriller",6.6,201536,60000000,75658097,137551594,77551594,1.2925265666666668
Skin Trade,96.0,"Action,Crime,Thriller",5.7,6942,9000000,1242,1242,-8998758,-0.999862
Safe Haven,115.0,"Drama,Romance,Thriller",6.7,97055,28000000,71399120,94050951,66050951,2.358962535714286
No Escape,103.0,"Action,Thriller",6.8,70222,5000000,27288872,42844516,37844516,7.5689032
Zipper,112.0,"Drama,Thriller",5.8,6120,4500000,0,0,-4500000,-1.0
Jack Reacher: Never Go Back,118.0,"Action,Thriller",6.1,121892,60000000,58697076,159946489,99946489,1.6657748166666666
The Darkness,92.0,"Horror,Thriller",4.4,12435,4000000,10753574,10898293,6898293,1.72457325
Red Sparrow,140.0,"Action,Drama,Thriller",6.6,136738,69000000,46874505,145951861,76951861,1.1152443623188406
Snowden,134.0,"Biography,Drama,Thriller",7.3,119149,50000000,21587519,35380918,-14619082,-0.29238164
The Possession of Hannah Grace,86.0,"Horror,Mystery,Thriller",5.2,11629,6000000,14836174,42785387,36785387,6.130897833333333
The Mechanic,93.0,"Action,Crime,Thriller",6.6,141254,42500000,29121498,76347393,33847393,0.7964092470588235
Trapped,105.0,"Action,Drama,Thriller",7.6,7683,30000000,6916869,6916869,-23083131,-0.7694377
Green Zone,115.0,"Action,Drama,Thriller",6.8,122132,100000000,35497337,97523020,-2476980,-0.0247698
Tinker Tailor Soldier Spy,122.0,"Drama,Mystery,Thriller",7.1,174890,21000000,24149393,81452811,60452811,2.8787052857142856
The Vatican Tapes,91.0,"Horror,Thriller",5.0,14822,13000000,1784763,14929184,1929184,0.14839876923076922
Take Shelter,121.0,"Drama,Horror,Thriller",7.4,83200,4750000,1728953,4972016,222016,0.04674021052631579
Velvet Buzzsaw,113.0,"Horror,Mystery,Thriller",5.7,40213,21000000,0,0,-21000000,-1.0
Mama,100.0,"Horror,Thriller",6.2,158487,15000000,71628180,148095566,133095566,8.873037733333334
Maniac,89.0,"Horror,Thriller",6.1,32534,350000,10000000,10000000,9650000,27.571428571428573
Getaway,90.0,"Action,Crime,Thriller",4.4,22157,18000000,10501938,11813989,-6186011,-0.3436672777777778
31,102.0,"Horror,Thriller",5.1,15055,1500000,779820,922727,-577273,-0.38484866666666667
Rough Night,101.0,"Comedy,Crime,Thriller",5.2,39447,20000000,22105643,46844357,26844357,1.34221785
Skyscraper,102.0,"Action,Adventure,Thriller",5.8,81193,125000000,68420120,304115534,179115534,1.432924272
Acrimony,120.0,"Drama,Romance,Thriller",5.7,6119,20000000,43549096,46627836,26627836,1.3313918
The Belko Experiment,89.0,"Horror,Thriller",6.1,38378,5000000,10166820,11792942,6792942,1.3585884
The Ides of March,101.0,"Drama,Thriller",7.1,207417,23000000,40962534,77735925,54735925,2.3798228260869565
Jack Ryan: Shadow Recruit,105.0,"Action,Drama,Thriller",6.2,114913,60000000,50577412,131377412,71377412,1.1896235333333334
Savages,131.0,"Crime,Drama,Thriller",6.5,115793,45000000,47323100,82513490,37513490,0.8336331111111112
Safe,94.0,"Action,Crime,Thriller",6.5,96388,33000000,17142080,41495213,8495213,0.25743069696969695
Killing Them Softly,97.0,"Crime,Thriller",6.2,124086,15000000,14945541,39238443,24238443,1.6158962
The Circle,110.0,"Drama,Sci-Fi,Thriller",5.3,72536,18000000,20497844,40651864,22651864,1.2584368888888888
The Fate of the Furious,136.0,"Action,Crime,Thriller",6.7,179774,250000000,225764765,1234846267,984846267,3.939385068
Slender Man,93.0,"Horror,Mystery,Thriller",3.2,19650,10000000,30564825,51723644,41723644,4.1723644
"Roman J. Israel, Esq.",122.0,"Crime,Drama,Thriller",6.4,23632,22000000,11962712,12967012,-9032988,-0.41059036363636364
13 Sins,93.0,"Horror,Thriller",6.3,29550,4000000,9134,47552,-3952448,-0.988112
Addicted,106.0,"Drama,Thriller",5.2,7640,5000000,17390770,17499242,12499242,2.4998484
White House Down,131.0,"Action,Drama,Thriller",6.4,191791,150000000,73103784,205440387,55440387,0.36960258
Sinister 2,97.0,"Horror,Mystery,Thriller",5.3,41782,10000000,27740955,54104225,44104225,4.4104225
The Last Exorcism Part II,88.0,"Drama,Horror,Thriller",4.0,15124,4000000,15179303,25448707,21448707,5.36217675
Insidious: The Last Key,103.0,"Horror,Mystery,Thriller",5.7,42154,10000000,67745330,167885588,157885588,15.7885588
The Perfect Host,93.0,"Comedy,Crime,Thriller",6.8,23378,1000000,48764,51587,-948413,-0.948413
Taken 2,92.0,"Action,Thriller",6.3,273106,45000000,139854287,377807404,332807404,7.395720088888889
Kidnap,95.0,"Crime,Drama,Thriller",5.9,28898,21000000,30718107,34836080,13836080,0.6588609523809524
Area 51,91.0,"Horror,Sci-Fi,Thriller",4.2,11537,5000000,7556,7556,-4992444,-0.9984888
The Awakening,102.0,"Horror,Thriller",6.5,60215,4900000,95933,6924321,2024321,0.41312673469387756
3 Days to Kill,117.0,"Action,Drama,Thriller",6.2,81681,28000000,30697999,38959900,10959900,0.391425
Zulu,110.0,"Crime,Drama,Thriller",6.7,16607,16000000,0,1844228,-14155772,-0.88473575
Need for Speed,132.0,"Action,Crime,Thriller",6.5,154909,66000000,43568507,194169619,128169619,1.9419639242424243
Nocturnal Animals,116.0,"Drama,Thriller",7.5,205240,22500000,10663357,32398681,9898681,0.43994137777777775
First Reformed,113.0,"Drama,Mystery,Thriller",7.1,33542,3500000,3448256,3874772,374772,0.10707771428571429
Green Room,95.0,"Horror,Music,Thriller",7.0,90773,5000000,3220371,3807503,-1192497,-0.2384994
Gone Girl,149.0,"Drama,Mystery,Thriller",8.1,761592,61000000,167767189,368567189,307567189,5.042085065573771
The Lincoln Lawyer,118.0,"Crime,Drama,Thriller",7.3,196109,40000000,58009200,87145086,47145086,1.17862715
Premium Rush,91.0,"Action,Crime,Thriller",6.5,105279,35000000,20275446,31393201,-3606799,-0.1030514
Stolen,96.0,"Action,Crime,Thriller",5.5,41313,35000000,289773,17967746,-17032254,-0.48663582857142856
Phantom,98.0,"Drama,History,Thriller",5.9,12786,18000000,1034589,1199510,-16800490,-0.9333605555555555
Phantom,136.0,"Action,Drama,Thriller",5.8,7739,18000000,1034589,1199510,-16800490,-0.9333605555555555
Eye in the Sky,102.0,"Drama,Thriller,War",7.3,72301,13000000,18704596,35402802,22402802,1.7232924615384615
Taken 3,108.0,"Action,Thriller",6.0,165072,48000000,89256424,327656424,279656424,5.8261755
Paranormal Activity: The Marked Ones,84.0,"Horror,Mystery,Thriller",5.0,37147,5000000,32462372,90904854,85904854,17.1809708
The Town,125.0,"Crime,Drama,Thriller",7.6,322524,37000000,92186262,152566881,115566881,3.1234292162162163
